dataset,operator,model,dim,fold_count,mean,std,var,fold0,fold1,fold2,fold3,fold4
ENZYMES,GINConv,NodeCrossGNN,64,5,0.32000,0.05859,0.003433,0.22500,0.30833,0.33333,0.40833,0.32500
ENZYMES,GINConv,NodeResGNN,64,5,0.28333,0.07032,0.004944,0.19167,0.20833,0.35833,0.35000,0.30833
ENZYMES,GINConv,PlainGNN,64,5,0.24500,0.05233,0.002739,0.19167,0.25833,0.25000,0.33333,0.19167
ENZYMES,SAGEConv,GraphCrossGNN,64,5,0.28000,0.06843,0.004683,0.16667,0.30000,0.34167,0.35000,0.24167
ENZYMES,SAGEConv,GraphResGNN,64,5,0.31167,0.08492,0.007211,0.16667,0.32500,0.36667,0.41667,0.28333
ENZYMES,SAGEConv,GraphSAGEBaseline,64,5,0.24667,0.04961,0.002461,0.16667,0.21667,0.29167,0.30000,0.25833
ENZYMES,SAGEConv,NodeCrossGNN,64,5,0.27833,0.06637,0.004406,0.16667,0.30833,0.35000,0.32500,0.24167
ENZYMES,SAGEConv,NodeResGNN,64,5,0.26167,0.04552,0.002072,0.21667,0.22500,0.30833,0.32500,0.23333
ENZYMES,SAGEConv,PlainGNN,64,5,0.25167,0.04391,0.001928,0.19167,0.21667,0.29167,0.30833,0.25000
ENZYMES,TransformerConv,GraphCrossGNN,64,5,0.28000,0.05390,0.002906,0.20833,0.33333,0.35000,0.26667,0.24167
ENZYMES,TransformerConv,GraphResGNN,64,5,0.29667,0.07257,0.005267,0.22500,0.42500,0.26667,0.32500,0.24167
ENZYMES,TransformerConv,NodeCrossGNN,64,5,0.30333,0.04790,0.002294,0.20833,0.32500,0.33333,0.33333,0.31667
ENZYMES,TransformerConv,NodeResGNN,64,5,0.25833,0.04743,0.002250,0.16667,0.29167,0.29167,0.28333,0.25833
ENZYMES,TransformerConv,PlainGNN,64,5,0.23667,0.04236,0.001794,0.16667,0.26667,0.20833,0.26667,0.27500
MUTAG,GATConv,GraphCrossGNN,64,5,0.74495,0.04161,0.001731,0.76316,0.68421,0.73684,0.81081,0.72973
MUTAG,GATConv,GraphResGNN,64,5,0.71821,0.05473,0.002995,0.73684,0.71053,0.68421,0.81081,0.64865
MUTAG,GATConv,NodeCrossGNN,64,5,0.73983,0.06891,0.004749,0.73684,0.65789,0.73684,0.86486,0.70270
MUTAG,GATConv,NodeResGNN,64,5,0.73983,0.05734,0.003288,0.73684,0.65789,0.73684,0.83784,0.72973
